brand,year,fuel_type,transmission,engine_size,mileage,doors,owner_count,price
Ford,2020,Diesel,Manual,2.6,150884,4,4,26655
Ford,2016,Petrol,Manual,4.0,93637,5,3,29818
Honda,2020,Petrol,Manual,2.3,80832,5,4,29558
Hyundai,2017,Electric,Manual,4.5,190725,2,1,37963
Ford,2008,Diesel,Automatic,1.9,97774,4,3,19411
Ford,2007,Electric,Automatic,2.5,64681,4,3,29265
Toyota,2011,Diesel,Automatic,1.4,157385,4,3,18430
Honda,2017,Electric,Automatic,3.0,94225,2,2,40288
Toyota,2018,Petrol,Automatic,3.6,106382,4,3,32380
Hyundai,2008,Diesel,Manual,3.0,117071,4,1,21646
Hyundai,2016,Diesel,Manual,1.7,186848,4,2,22057
Audi,2013,Electric,Automatic,3.6,126211,2,2,45889
BMW,2014,Diesel,Automatic,1.2,139777,4,3,31911
Honda,2005,Petrol,Manual,1.9,70811,5,2,17259
Ford,2008,Petrol,Manual,1.1,48136,4,1,21293
Toyota,2011,Diesel,Manual,1.5,53112,4,1,24844
BMW,2007,Petrol,Automatic,4.0,149067,5,2,31546
Toyota,2022,Petrol,Manual,2.6,38719,5,3,35764
BMW,2019,Diesel,Automatic,3.4,94034,4,4,42098
Hyundai,2018,Diesel,Manual,1.9,142594,2,4,23670
Audi,2019,Diesel,Manual,1.8,176293,4,1,37285
BMW,2015,Diesel,Manual,3.2,113769,4,4,34711
Audi,2014,Petrol,Automatic,1.6,25360,4,4,36932
Toyota,2009,Petrol,Manual,3.4,57899,2,1,26405
Honda,2005,Electric,Manual,2.1,59148,4,3,24742
Hyundai,2008,Diesel,Automatic,3.5,87238,5,2,24638
Audi,2007,Diesel,Automatic,1.9,139511,4,2,27824
Audi,2024,Electric,Manual,4.3,192739,2,3,51463
Toyota,2009,Petrol,Manual,4.2,172176,2,4,17791
BMW,2014,Petrol,Automatic,4.5,182208,2,4,34889
Audi,2015,Electric,Manual,2.9,68057,4,1,48897
BMW,2011,Petrol,Manual,2.8,107947,4,1,34702
Audi,2011,Petrol,Automatic,1.9,115007,5,3,31549
Ford,2007,Petrol,Automatic,1.8,45346,2,4,19332
Toyota,2017,Electric,Automatic,3.6,78234,2,4,39288
Toyota,2009,Electric,Manual,2.8,12922,4,1,35453
Hyundai,2019,Electric,Manual,1.3,94281,4,1,38385
Honda,2018,Diesel,Manual,1.3,55250,5,3,28337
Ford,2014,Petrol,Automatic,1.6,166146,5,4,19892
Hyundai,2015,Electric,Manual,4.2,78417,4,4,36479
Hyundai,2024,Petrol,Manual,2.2,112389,4,1,36280
BMW,2020,Diesel,Automatic,4.2,130366,2,4,42881
BMW,2011,Petrol,Manual,2.4,44092,5,2,35595
Hyundai,2023,Electric,Manual,2.0,149874,4,4,36506
Honda,2021,Electric,Automatic,4.2,121177,5,3,43841
Honda,2012,Diesel,Automatic,2.8,79794,4,2,27610
Honda,2018,Electric,Manual,1.7,160771,5,4,30361
Hyundai,2011,Electric,Automatic,1.8,141429,4,1,31028
Toyota,2009,Diesel,Manual,1.9,120202,4,2,18789
Hyundai,2022,Diesel,Automatic,3.2,186492,2,3,31575
Hyundai,2012,Diesel,Automatic,2.0,128707,4,1,25064
Honda,2019,Diesel,Automatic,2.2,109364,5,3,30431
Toyota,2006,Electric,Automatic,2.7,68095,5,4,26995
Honda,2009,Diesel,Automatic,1.5,69297,2,1,24035
Hyundai,2013,Electric,Automatic,3.1,147031,4,3,32348
Honda,2008,Diesel,Automatic,3.5,190690,4,1,20965
Honda,2013,Petrol,Manual,4.3,105562,2,2,28321
Toyota,2024,Electric,Manual,2.9,153810,5,3,40609
Ford,2008,Electric,Manual,4.2,32717,2,3,33264
Toyota,2014,Diesel,Manual,2.6,181867,2,1,23606
Audi,2021,Petrol,Manual,2.0,192423,2,1,38878
Audi,2022,Petrol,Manual,1.7,192156,5,2,37792
Toyota,2011,Petrol,Automatic,1.8,159327,2,3,19133
Toyota,2016,Electric,Automatic,4.4,128921,4,4,37353
Ford,2016,Petrol,Automatic,2.1,63256,4,4,28037
Ford,2013,Petrol,Automatic,3.6,45605,4,4,28919
Ford,2008,Petrol,Automatic,1.6,25825,4,3,22408
Ford,2019,Diesel,Manual,3.5,55423,2,2,35228
Audi,2014,Petrol,Manual,2.1,142779,4,3,31561
Ford,2015,Petrol,Manual,1.2,60858,5,3,24857
Honda,2022,Diesel,Automatic,3.9,75806,2,2,40009
BMW,2022,Diesel,Manual,1.3,144663,4,1,40866
Audi,2007,Diesel,Automatic,4.4,194900,4,3,28555
BMW,2019,Electric,Manual,3.3,121489,4,3,48025
Audi,2023,Electric,Manual,1.1,13452,5,3,53027
Audi,2019,Petrol,Manual,2.2,133238,4,3,37238
BMW,2014,Electric,Automatic,3.7,94478,4,3,47176
Honda,2023,Petrol,Automatic,4.3,179700,2,4,33615
Honda,2019,Diesel,Automatic,4.0,166299,2,3,31185
BMW,2016,Electric,Manual,2.2,156309,5,4,39584
Toyota,2013,Electric,Automatic,4.0,10249,5,3,40987
Honda,2013,Electric,Automatic,3.9,59865,5,4,36806
Audi,2014,Petrol,Manual,3.2,158445,2,3,32977
Hyundai,2018,Petrol,Automatic,4.3,54280,4,1,39386
Toyota,2005,Diesel,Manual,1.0,174967,2,4,7251
Honda,2014,Electric,Manual,1.5,79751,5,2,33012
Toyota,2018,Diesel,Manual,1.9,186539,2,2,24473
Audi,2024,Electric,Manual,1.2,137463,4,4,46526
Hyundai,2024,Petrol,Automatic,2.8,176470,5,1,36276
BMW,2011,Petrol,Manual,4.5,184923,4,1,34253
Ford,2009,Petrol,Automatic,2.1,33687,4,4,22515
BMW,2017,Petrol,Manual,2.2,113336,4,2,37733
BMW,2013,Electric,Manual,3.0,137320,4,4,39134
Honda,2019,Electric,Automatic,4.4,113314,5,2,44134
BMW,2014,Electric,Manual,4.0,92981,2,2,47350
BMW,2021,Diesel,Automatic,2.2,84618,5,1,46669
Ford,2010,Diesel,Automatic,1.1,122143,5,4,17092
Hyundai,2012,Diesel,Automatic,3.2,34252,2,1,32187
Ford,2011,Diesel,Automatic,3.8,109040,4,2,27148
Hyundai,2009,Petrol,Automatic,2.6,28622,4,3,25268
Honda,2007,Petrol,Automatic,1.6,37100,2,1,23845
BMW,2005,Petrol,Automatic,3.6,126042,5,4,26897
Hyundai,2006,Petrol,Automatic,1.8,64803,5,4,17359
Hyundai,2013,Diesel,Automatic,2.3,74467,5,3,26376
Ford,2013,Diesel,Automatic,1.6,53969,5,4,24501
Toyota,2021,Diesel,Automatic,2.3,188225,2,4,27188
Toyota,2022,Petrol,Automatic,1.3,134147,4,4,28892
BMW,2016,Petrol,Manual,3.0,173988,2,3,33800
Hyundai,2008,Electric,Manual,2.5,82965,2,4,25851
BMW,2017,Electric,Automatic,3.2,65223,2,2,52138
Ford,2007,Petrol,Manual,2.5,91439,5,1,20928
Audi,2011,Petrol,Manual,2.3,168306,2,2,29184
BMW,2008,Diesel,Automatic,2.7,138743,5,2,30462
BMW,2009,Diesel,Manual,1.2,35965,4,4,28601
Honda,2016,Electric,Automatic,3.9,190925,5,4,33253
BMW,2006,Petrol,Manual,2.9,119012,2,1,29349
Ford,2013,Petrol,Automatic,3.8,133872,5,2,27906
Ford,2011,Diesel,Automatic,2.9,78968,2,1,28351
Toyota,2020,Electric,Manual,1.4,70316,2,1,40784
BMW,2020,Petrol,Automatic,3.7,107754,4,2,46012
BMW,2012,Electric,Automatic,4.1,46584,2,1,51370
Hyundai,2008,Diesel,Automatic,1.1,79369,2,2,20231
Toyota,2012,Electric,Automatic,4.3,184072,5,4,30396
Honda,2017,Electric,Manual,1.0,158433,4,3,29578
Audi,2017,Electric,Automatic,2.3,167487,5,4,42225
Toyota,2016,Petrol,Automatic,3.4,120932,4,3,29253
Toyota,2018,Petrol,Automatic,1.4,40537,5,2,32773
Honda,2005,Petrol,Manual,3.4,83892,4,3,18105
Honda,2023,Petrol,Manual,4.4,107523,4,1,39923
Ford,2018,Electric,Automatic,4.3,76341,2,4,41782
BMW,2020,Electric,Automatic,1.2,129122,2,3,46443
Hyundai,2009,Diesel,Automatic,2.1,26582,4,1,27370
Audi,2011,Diesel,Manual,2.2,143373,4,3,28731
Hyundai,2020,Diesel,Manual,3.6,41385,2,3,35630
Hyundai,2023,Petrol,Manual,3.6,122914,4,3,34554
Hyundai,2022,Electric,Automatic,3.3,141535,5,1,45023
Audi,2023,Electric,Automatic,3.3,108734,2,4,53163
Ford,2019,Electric,Manual,3.3,76238,4,2,41788
BMW,2017,Petrol,Automatic,3.3,129564,4,3,39621
Honda,2007,Diesel,Manual,2.5,157655,4,4,13117
Hyundai,2009,Petrol,Manual,3.8,193415,5,1,20429
Toyota,2014,Electric,Manual,3.5,74420,2,4,34279
Toyota,2005,Electric,Manual,3.7,89202,4,1,29439
Toyota,2023,Petrol,Manual,4.4,115314,2,4,35034
Audi,2023,Petrol,Manual,3.3,160689,4,4,40565
BMW,2009,Petrol,Automatic,3.1,82445,4,4,32077
Audi,2014,Electric,Automatic,1.5,45525,2,3,45223
Hyundai,2023,Diesel,Manual,3.4,122038,5,3,34198
Honda,2017,Electric,Automatic,1.5,68665,2,2,38566
Toyota,2010,Petrol,Automatic,2.6,42118,2,2,27094
Honda,2006,Diesel,Automatic,1.6,134618,4,1,17969
Hyundai,2006,Petrol,Automatic,2.7,58980,2,4,19451
BMW,2005,Petrol,Automatic,2.9,185863,5,2,25506
Honda,2024,Diesel,Manual,1.7,159945,4,2,31402
Hyundai,2021,Electric,Manual,3.1,189266,5,1,39236
Honda,2013,Petrol,Manual,3.5,24684,2,2,30765
Audi,2010,Diesel,Automatic,3.1,171351,2,3,30132
Audi,2018,Diesel,Automatic,2.0,107580,4,1,42121
Audi,2022,Diesel,Manual,3.6,60542,2,2,48172
BMW,2022,Petrol,Manual,3.4,51034,2,4,45248
Toyota,2013,Petrol,Automatic,4.2,172330,5,3,25283
Hyundai,2018,Electric,Automatic,3.6,199198,4,3,35740
Hyundai,2018,Petrol,Automatic,1.4,38227,5,1,34388
Ford,2005,Petrol,Automatic,3.4,103778,4,2,20611
Toyota,2021,Diesel,Manual,2.9,95542,2,2,34022
Toyota,2024,Electric,Automatic,1.4,22300,5,2,47685
Honda,2006,Petrol,Manual,3.1,30745,2,4,19662
Ford,2019,Diesel,Automatic,1.7,171047,4,2,27847
Honda,2009,Diesel,Automatic,4.2,101759,2,4,23312
Audi,2023,Petrol,Automatic,2.4,112441,4,3,44677
Toyota,2024,Diesel,Automatic,4.1,168251,5,4,34787
Toyota,2024,Petrol,Automatic,3.2,65157,2,4,38142
Honda,2006,Petrol,Manual,1.5,15260,5,4,17237
Honda,2021,Petrol,Manual,4.0,197381,4,2,31130
BMW,2009,Electric,Manual,2.9,153256,2,1,38637
Toyota,2010,Petrol,Manual,4.5,178864,5,4,19056
Audi,2019,Diesel,Automatic,2.1,154787,4,4,36460
Honda,2008,Petrol,Automatic,3.5,52795,2,1,27860
Audi,2019,Petrol,Manual,2.9,81602,5,1,44219
Honda,2006,Diesel,Automatic,2.2,195356,5,3,13132
Hyundai,2015,Diesel,Automatic,4.5,101600,2,2,32920
Honda,2019,Electric,Automatic,1.6,90967,4,3,38151
Honda,2023,Electric,Manual,1.1,146071,5,4,34896
Hyundai,2012,Petrol,Automatic,4.0,45409,5,4,28729
Hyundai,2008,Diesel,Automatic,3.0,144553,4,2,20772
Honda,2017,Petrol,Automatic,3.6,82799,5,4,31060
Honda,2014,Electric,Manual,4.4,42215,5,3,39189
Audi,2023,Petrol,Automatic,3.0,113147,2,3,45842
Honda,2006,Petrol,Automatic,2.8,26539,4,2,24273
Ford,2021,Electric,Manual,3.2,33868,4,3,44206
Ford,2024,Electric,Manual,1.7,67291,4,3,42535
Honda,2011,Diesel,Automatic,4.1,56350,4,4,27382
Audi,2009,Petrol,Manual,2.8,168083,4,1,29695
Ford,2022,Electric,Automatic,1.9,120005,4,3,40299
Audi,2023,Diesel,Manual,3.2,80012,4,1,48899
Ford,2022,Petrol,Manual,2.3,34959,5,1,38352
Hyundai,2017,Diesel,Manual,2.3,33445,5,2,31927
Ford,2017,Electric,Manual,2.6,198219,5,3,30789
Honda,2015,Diesel,Manual,1.7,91643,2,1,27317
Audi,2009,Electric,Manual,3.2,52934,5,1,44253
Ford,2015,Petrol,Automatic,2.9,95125,2,4,27043
Audi,2008,Electric,Automatic,4.2,46233,5,2,46088
Toyota,2008,Diesel,Automatic,4.4,107201,2,1,26939
BMW,2020,Electric,Automatic,1.6,58054,2,4,49297
Ford,2009,Electric,Manual,2.3,131247,2,2,27037
BMW,2010,Diesel,Manual,2.4,68750,5,2,33362
Honda,2023,Diesel,Automatic,1.5,180076,4,2,30996
BMW,2021,Petrol,Manual,4.3,81058,4,1,49047
Ford,2014,Petrol,Manual,4.1,51818,5,2,31609
Ford,2005,Diesel,Automatic,2.6,179011,2,3,13749
Toyota,2013,Petrol,Manual,2.0,76703,2,2,25164
Honda,2014,Diesel,Automatic,2.5,151266,2,3,23936
Hyundai,2019,Petrol,Automatic,1.5,124594,4,1,31270
Audi,2022,Diesel,Automatic,2.1,159126,5,4,39243
Ford,2016,Diesel,Automatic,3.4,158281,4,3,27385
Ford,2016,Electric,Manual,3.3,134409,2,3,34379
Audi,2019,Electric,Automatic,3.4,198314,4,2,47884
Audi,2011,Diesel,Automatic,3.3,97008,4,1,38249
Ford,2008,Electric,Manual,1.2,20759,2,4,26362
Hyundai,2010,Petrol,Automatic,4.2,100237,5,3,25888
Audi,2021,Electric,Automatic,3.7,69016,2,3,55449
Audi,2022,Electric,Manual,3.5,96926,2,1,55653
BMW,2008,Electric,Automatic,4.2,108682,5,3,41465
BMW,2019,Electric,Manual,1.9,145752,2,1,47012
Ford,2007,Electric,Automatic,1.2,164854,5,2,23157
BMW,2006,Diesel,Automatic,2.7,17545,5,1,36022
BMW,2017,Petrol,Manual,3.8,164747,2,4,35362
BMW,2024,Electric,Manual,1.4,199145,5,1,48342
BMW,2008,Diesel,Automatic,1.1,96245,4,4,26387
Toyota,2006,Petrol,Automatic,1.2,116491,4,4,13575
BMW,2014,Petrol,Manual,4.1,41159,4,2,42142
Ford,2009,Diesel,Automatic,3.0,56827,2,4,23158
Audi,2008,Petrol,Manual,3.7,36177,2,1,37091
BMW,2006,Petrol,Manual,1.8,41723,4,1,31013
Honda,2015,Electric,Automatic,3.1,104877,5,4,34956
Audi,2009,Diesel,Manual,1.6,122227,4,4,25088
BMW,2017,Petrol,Manual,1.9,148108,2,3,33894
Honda,2023,Diesel,Automatic,2.4,117217,2,3,34439
Audi,2011,Diesel,Manual,1.2,76966,2,4,28551
BMW,2012,Electric,Manual,4.3,124335,5,1,45883
Toyota,2008,Petrol,Automatic,3.2,158857,4,1,21957
Audi,2008,Diesel,Manual,2.2,66110,4,3,29594
Toyota,2024,Electric,Manual,4.4,178690,2,2,43865
Audi,2022,Electric,Automatic,1.3,70298,4,2,53085
Toyota,2014,Electric,Manual,2.4,21899,5,1,39205
Ford,2005,Electric,Automatic,1.5,139613,4,2,23019
BMW,2016,Electric,Automatic,2.9,74769,2,1,51561
Audi,2014,Diesel,Automatic,4.0,72677,2,2,42366
Honda,2021,Electric,Automatic,2.0,185657,4,2,37717
Audi,2022,Electric,Automatic,3.4,138887,5,3,52355
Honda,2017,Diesel,Automatic,1.2,105538,2,1,29623
Hyundai,2020,Diesel,Automatic,1.7,59569,2,2,34421
Honda,2005,Diesel,Automatic,1.7,171822,2,2,13808
Honda,2022,Petrol,Automatic,3.6,42053,2,4,38097
Audi,2017,Petrol,Automatic,4.5,13221,4,3,47838
BMW,2020,Petrol,Manual,2.4,80317,5,4,39784
Honda,2009,Diesel,Automatic,2.6,188076,5,1,20296
Audi,2020,Electric,Manual,4.1,111108,5,1,54144
Audi,2007,Electric,Automatic,1.4,40816,4,2,39759
BMW,2018,Diesel,Manual,4.5,41302,5,2,46934
Audi,2008,Diesel,Automatic,3.5,38231,4,1,38588
Honda,2010,Petrol,Automatic,3.2,182448,4,3,19777
Ford,2017,Petrol,Manual,2.9,166064,5,4,23496
Ford,2005,Petrol,Manual,3.2,188146,4,1,15492
BMW,2006,Diesel,Automatic,3.7,93663,4,3,31216
Audi,2011,Petrol,Manual,3.1,58883,5,4,33255
Toyota,2011,Electric,Automatic,2.4,146482,4,1,31975
BMW,2023,Diesel,Automatic,2.1,80216,5,4,44189
Ford,2006,Petrol,Manual,4.0,36293,5,1,25685
Toyota,2005,Diesel,Automatic,3.8,37395,4,1,26230
BMW,2005,Petrol,Automatic,3.3,94859,2,3,29357
Toyota,2010,Electric,Automatic,1.1,170033,4,4,22698
BMW,2012,Electric,Manual,3.0,188411,5,3,37079
Toyota,2023,Electric,Automatic,1.8,83388,2,3,42930
Audi,2017,Petrol,Automatic,2.6,58129,2,1,44793
BMW,2006,Electric,Automatic,4.5,121418,2,2,40929
Toyota,2022,Petrol,Automatic,2.0,139329,4,4,30033
Audi,2021,Diesel,Manual,1.9,123620,2,4,37619
Audi,2014,Diesel,Manual,2.7,21761,4,1,41811
Hyundai,2011,Electric,Manual,4.2,92654,2,4,31767
BMW,2022,Electric,Automatic,2.7,135673,4,4,49616
Toyota,2020,Petrol,Manual,1.6,98191,5,1,31790
Honda,2018,Diesel,Manual,3.4,34058,5,4,32097
Ford,2021,Electric,Automatic,2.3,95816,4,4,39809
Audi,2020,Diesel,Manual,2.7,124776,4,2,41161
Ford,2019,Diesel,Manual,2.5,21303,2,4,31934
Hyundai,2019,Electric,Manual,1.3,170298,2,2,33085
Toyota,2019,Petrol,Manual,2.1,60938,4,2,32153
Honda,2007,Petrol,Automatic,3.1,23487,5,1,27525
Ford,2005,Petrol,Automatic,2.6,198636,2,4,11268
BMW,2007,Electric,Automatic,1.6,62936,4,2,39053
BMW,2017,Electric,Automatic,1.3,110059,4,1,47597
Ford,2020,Petrol,Manual,2.6,21154,4,3,34642
Ford,2019,Petrol,Automatic,4.4,181265,4,3,31236
Toyota,2016,Electric,Manual,1.6,46906,2,2,36854
Toyota,2017,Diesel,Manual,3.8,191389,2,4,24030
Honda,2017,Diesel,Manual,3.8,61750,2,4,30512
BMW,2007,Electric,Manual,1.3,59098,4,3,35145
Toyota,2020,Diesel,Automatic,1.4,124230,2,4,27588
Audi,2016,Petrol,Manual,3.6,160073,2,1,38696
Audi,2010,Electric,Automatic,3.2,86976,5,3,42551
Ford,2022,Petrol,Automatic,1.7,30527,5,1,39373
Toyota,2009,Petrol,Manual,4.1,78282,2,2,25285
Toyota,2022,Electric,Automatic,4.3,70395,5,3,47580
Toyota,2019,Petrol,Manual,3.7,134319,2,2,31684
Hyundai,2005,Electric,Automatic,2.9,190344,2,4,20282
BMW,2019,Diesel,Manual,3.8,34618,4,2,46869
Ford,2012,Petrol,Manual,3.0,11717,2,3,27914
Honda,2008,Diesel,Manual,1.2,181773,2,4,10311
Audi,2010,Petrol,Automatic,2.6,126313,5,3,31384
Ford,2005,Diesel,Manual,4.3,44853,5,4,20357
Hyundai,2015,Electric,Manual,2.9,67156,4,3,35942
BMW,2017,Electric,Manual,1.5,109135,4,4,41543
BMW,2017,Electric,Automatic,3.3,103996,4,2,50400
Audi,2017,Diesel,Manual,2.4,119508,5,1,39324
Ford,2009,Petrol,Manual,2.5,81663,2,4,18916
Toyota,2020,Petrol,Automatic,3.2,104636,5,4,32168
Ford,2017,Petrol,Manual,3.7,171672,5,4,24816
Toyota,2016,Diesel,Manual,1.1,53011,4,1,29049
Toyota,2013,Diesel,Automatic,3.7,145845,4,1,28607
Hyundai,2021,Petrol,Manual,4.2,97174,4,1,38041
BMW,2009,Electric,Manual,1.9,164390,4,2,34580
Ford,2021,Electric,Manual,1.6,182376,4,2,35081
Ford,2005,Diesel,Manual,4.0,70829,4,3,19958
Toyota,2006,Petrol,Automatic,1.3,27930,5,1,22703
Audi,2017,Petrol,Manual,3.7,71094,4,1,44345
BMW,2024,Electric,Automatic,4.5,170028,5,2,56498
Toyota,2024,Diesel,Manual,1.0,192765,2,1,29861
Audi,2021,Diesel,Automatic,2.5,87575,4,4,42621
Ford,2024,Petrol,Manual,1.1,148178,2,2,30791
BMW,2010,Electric,Automatic,2.8,180125,2,1,40093
Honda,2006,Electric,Manual,2.6,199311,4,3,19734
Audi,2010,Diesel,Manual,2.6,128971,4,1,32251
Ford,2017,Electric,Manual,1.9,43267,2,3,37136
Hyundai,2013,Electric,Automatic,4.0,112794,2,4,34360
Hyundai,2020,Electric,Automatic,3.9,57094,5,3,45445
Toyota,2019,Petrol,Manual,3.2,150162,4,3,28391
Toyota,2012,Electric,Manual,1.2,78936,4,4,27453
Hyundai,2024,Petrol,Automatic,4.3,72486,5,2,42975
Toyota,2018,Diesel,Automatic,2.1,126004,2,3,28399
BMW,2024,Petrol,Manual,2.2,51298,5,2,47835
Hyundai,2017,Diesel,Manual,1.8,149402,5,1,26629
Hyundai,2009,Petrol,Manual,1.3,118962,4,4,14651
Ford,2014,Petrol,Automatic,4.1,119849,5,2,30207
BMW,2018,Petrol,Manual,3.1,38665,2,4,41266
Honda,2010,Diesel,Manual,2.3,98687,2,1,23165
Toyota,2009,Diesel,Automatic,3.8,110333,2,2,25083
Hyundai,2023,Diesel,Manual,3.6,134157,5,3,33992
Ford,2010,Electric,Automatic,3.3,14042,2,1,39397
Audi,2016,Petrol,Manual,1.5,108105,5,3,34094
Audi,2015,Electric,Manual,3.8,146589,4,2,45270
Audi,2008,Diesel,Manual,1.3,125022,2,2,26348
BMW,2011,Petrol,Automatic,2.6,194725,4,4,27463
Hyundai,2007,Diesel,Manual,1.4,127694,5,1,16915
BMW,2006,Electric,Manual,3.2,40188,5,3,38890
Toyota,2008,Petrol,Manual,4.4,126776,2,2,22461
BMW,2007,Petrol,Manual,1.5,125462,5,3,24226
Hyundai,2016,Petrol,Manual,1.8,53471,4,3,27426
Toyota,2006,Diesel,Manual,1.0,86466,5,2,15676
Audi,2005,Diesel,Manual,2.6,31154,4,3,29142
BMW,2014,Diesel,Automatic,2.5,149206,2,3,34039
Honda,2006,Petrol,Automatic,1.4,165950,2,3,13002
Toyota,2005,Electric,Automatic,4.0,22307,2,2,33884
Toyota,2019,Petrol,Automatic,4.2,141587,5,2,34320
BMW,2008,Petrol,Manual,2.1,88216,2,2,29789
Ford,2019,Diesel,Automatic,2.0,108635,4,1,33068
Toyota,2006,Petrol,Automatic,1.0,137415,4,2,15129
Ford,2011,Diesel,Manual,3.8,44853,2,3,26857
Audi,2008,Diesel,Manual,2.8,74578,4,3,30371
BMW,2008,Electric,Manual,4.0,132383,5,1,40880
Toyota,2009,Electric,Manual,2.1,145197,4,4,22940
Honda,2023,Diesel,Automatic,1.9,94732,4,3,34563
Toyota,2016,Electric,Manual,2.8,42355,2,1,40982
Ford,2022,Petrol,Manual,2.7,139944,5,3,30902
Hyundai,2015,Petrol,Automatic,2.7,119131,5,4,25443
Audi,2023,Diesel,Manual,4.3,194378,2,2,43881
Audi,2012,Electric,Automatic,3.7,136869,4,2,44556
BMW,2009,Petrol,Manual,3.2,108798,2,4,28960
Toyota,2005,Petrol,Automatic,3.4,61503,4,4,19724
Honda,2023,Diesel,Automatic,1.1,50173,4,1,38191
Toyota,2022,Electric,Automatic,3.8,140241,5,1,46087
Ford,2009,Diesel,Automatic,3.6,179713,4,3,19714
Hyundai,2016,Petrol,Manual,3.2,20061,2,3,31896
Toyota,2016,Electric,Automatic,4.4,19375,5,1,47331
Audi,2013,Electric,Manual,4.4,35884,5,1,51505
Toyota,2010,Electric,Automatic,4.5,176451,5,3,30677
Toyota,2019,Diesel,Manual,4.4,31538,4,2,38223
Toyota,2011,Petrol,Manual,4.3,80029,4,3,26098
Audi,2023,Electric,Manual,1.9,72004,2,1,54699
BMW,2013,Petrol,Manual,3.0,179760,2,1,33512
Hyundai,2021,Petrol,Automatic,2.9,124626,4,2,34568
BMW,2006,Petrol,Automatic,1.5,173691,2,1,25815
Hyundai,2017,Petrol,Manual,2.2,27492,2,4,29025
BMW,2022,Diesel,Manual,3.0,20008,2,3,47499
Toyota,2009,Diesel,Automatic,1.7,22164,2,4,22291
Ford,2014,Petrol,Automatic,1.9,157440,4,4,20928
Honda,2017,Diesel,Manual,3.8,66006,4,1,34799
Hyundai,2007,Diesel,Automatic,3.8,139519,4,1,23124
Honda,2006,Petrol,Automatic,1.8,151016,4,1,17549
Audi,2022,Electric,Automatic,3.5,39971,4,4,56001
Honda,2020,Diesel,Manual,1.8,154940,2,2,27853
Audi,2020,Petrol,Manual,1.6,110968,4,3,38151
BMW,2013,Petrol,Automatic,1.6,31488,5,4,35625
Hyundai,2022,Petrol,Manual,3.4,30895,5,2,39255
Honda,2010,Petrol,Automatic,1.8,107614,5,1,23719
Honda,2006,Petrol,Automatic,4.1,176758,2,2,19362
Toyota,2007,Electric,Automatic,4.4,33929,2,2,36103
Hyundai,2023,Diesel,Manual,3.2,21177,4,3,38841
Honda,2010,Diesel,Automatic,3.2,127596,4,4,21020
Hyundai,2006,Electric,Automatic,3.2,81892,4,3,28805
Audi,2007,Electric,Manual,2.5,195413,5,3,30729
Hyundai,2012,Petrol,Manual,1.4,125615,4,4,17519
Toyota,2010,Diesel,Automatic,2.6,58636,2,4,23268
BMW,2005,Electric,Manual,2.1,151941,4,3,30102
Audi,2013,Electric,Automatic,4.2,160525,5,1,46873
Hyundai,2009,Diesel,Manual,1.1,61409,5,3,18629
Honda,2010,Electric,Manual,1.7,168039,5,4,21998
BMW,2024,Petrol,Automatic,1.8,109284,5,2,46135
Ford,2022,Diesel,Manual,1.2,154151,4,2,28692
BMW,2007,Electric,Manual,2.6,126367,2,3,34381
Toyota,2016,Diesel,Automatic,1.5,65027,4,4,26748
